"City","State"
"JHABUA","MADHYA PRADESH"
"JHAJJAR","HARYANA"
"JHALAWAR","RAJASTHAN"
"JHANSI","UTTAR PRADESH"
"JHARSUGUDA","ODISHA"
"JHUNJHUNUN","RAJASTHAN"
"JIND","HARYANA"
"JODHPUR","RAJASTHAN"
"JORHAT","ASSAM"
"JUNAGADH","GUJARAT"
"KACHCHH","GUJARAT"
"KAIMUR (BHABUA)","BIHAR"
"KAITHAL","HARYANA"
"KALAHANDI","ODISHA"
"KAMRUP","ASSAM"
"KANCHEEPURAM","TAMIL NADU"
"KANDHAMAL","ODISHA"
"KANGRA","HIMACHAL PRADESH"
"KANNAUJ","UTTAR PRADESH"
"KANNIYAKUMARI","TAMIL NADU"
"KANNUR","KERALA"
"KANPUR DEHAT","UTTAR PRADESH"
"KANPUR NAGAR","UTTAR PRADESH"
"KAPURTHALA","PUNJAB"
"KARAIKAL","PUDUCHERRY"
"KARAULI","RAJASTHAN"
"KARBI ANGLONG","ASSAM"
"KARGIL","JAMMU AND KASHMIR"
"KARIMGANJ","ASSAM"
"KARIMNAGAR","TELANGANA"
"KARNAL","HARYANA"
"KASARAGOD","KERALA"
"KATHUA","JAMMU AND KASHMIR"
"KATIHAR","BIHAR"
"KATNI","MADHYA PRADESH"
"KAUSHAMBI","UTTAR PRADESH"
"KENDRAPARA","ODISHA"
"KENDUJHAR","ODISHA"
"KHAGARIA","BIHAR"
"KHAMMAM","TELANGANA"
"KHEDA","GUJARAT"
"KHERI","UTTAR PRADESH"
"KHORDHA","ODISHA"
"KISHANGANJ","BIHAR"
"KOCH BIHAR","WEST BENGAL"
"KODAGU","KARNATAKA"
"KODARMA","JHARKHAND"
"KOHIMA","NAGALAND"
"KOKRAJHAR","ASSAM"
"KOLAR","KARNATAKA"
"KOLASIB","MIZORAM"
"KOLKATA","WEST BENGAL"
"KOLLAM","KERALA"
"KOPPAL","KARNATAKA"
"KORAPUT","ODISHA"
"KORBA","CHHATTISGARH"
"KORIYA","CHHATTISGARH"
"KOTA","RAJASTHAN"
"KOTTAYAM","KERALA"
"KOZHIKODE","KERALA"
"KRISHNA","ANDHRA PRADESH"
"KULLU","HIMACHAL PRADESH"
"KUPWARA","JAMMU AND KASHMIR"
"KURNOOL","ANDHRA PRADESH"
"KURUKSHETRA","HARYANA"
"KUSHINAGAR","UTTAR PRADESH"
"LAKHIMPUR","ASSAM"
"LAKHISARAI","BIHAR"
"LAKSHADWEEP","LAKSHADWEEP"
"LALITPUR","UTTAR PRADESH"
"LATUR","MAHARASHTRA"
"LOHARDAGA","JHARKHAND"
"LOHIT","ARUNACHAL PRADESH"
"LOWER SUBANSIRI","ARUNACHAL PRADESH"
"LUCKNOW","UTTAR PRADESH"
"LUDHIANA","PUNJAB"
"LUNGLEI","MIZORAM"
"MADHEPURA","BIHAR"
"MADHUBANI","BIHAR"
"MADURAI","TAMIL NADU"
"MAHASAMUND","CHHATTISGARH"
"MAHBUBNAGAR","TELANGANA"
"MAHE","PUDUCHERRY"
"MAHENDRAGARH","HARYANA"
"MAHESANA","GUJARAT"
"MAHOBA","UTTAR PRADESH"
"MAINPURI","UTTAR PRADESH"
"MALAPPURAM","KERALA"
"MALDAH","WEST BENGAL"
"MALKANGIRI","ODISHA"
"MAMIT","MIZORAM"
"MANDI","HIMACHAL PRADESH"
"MANDLA","MADHYA PRADESH"
"MANDSAUR","MADHYA PRADESH"
"MANDYA","KARNATAKA"
"MANSA","PUNJAB"
"MATHURA","UTTAR PRADESH"
"MAU","UTTAR PRADESH"
"MAYURBHANJ","ODISHA"
"MEDAK","TELANGANA"
"MEERUT","UTTAR PRADESH"
"MIRZAPUR","UTTAR PRADESH"
"MOGA","PUNJAB"
"MOKOKCHUNG","NAGALAND"
"MON","NAGALAND"
"MORADABAD","UTTAR PRADESH"
"MORENA","MADHYA PRADESH"
"MUKTSAR","PUNJAB"
"MUMBAI","MAHARASHTRA"
"MUNGER","BIHAR"
"MURSHIDABAD","WEST BENGAL"
"MUZAFFARNAGAR","UTTAR PRADESH"
"MUZAFFARPUR","BIHAR"
"MYSORE","KARNATAKA"
"NABARANGAPUR","ODISHA"
"NADIA","WEST BENGAL"
"NAGAON","ASSAM"
"NAGAPATTINAM","TAMIL NADU"
"NAGAUR","RAJASTHAN"
"NAGPUR","MAHARASHTRA"
"NAINITAL","UTTARAKHAND"
"NALANDA","BIHAR"
"NALBARI","ASSAM"
"NALGONDA","TELANGANA"
"NAMAKKAL","TAMIL NADU"
"NANDED","MAHARASHTRA"
"NANDURBAR","MAHARASHTRA"
"NARMADA","GUJARAT"
"NARSIMHAPUR","MADHYA PRADESH"
"NASHIK","MAHARASHTRA"
"NAVSARI","GUJARAT"
"NAWADA","BIHAR"
"NAYAGARH","ODISHA"
"NEEMUCH","MADHYA PRADESH"
"NELLORE","TAMIL NADU"
"NEW DELHI","NCT OF DELHI"
"NIZAMABAD","TELANGANA"
"NORTH","NCT OF DELHI"
"NORTH EAST","NCT OF DELHI"
"NORTH GOA","GOA"
"NORTH TRIPURA","TRIPURA"
"NORTH WEST","NCT OF DELHI"
"NUAPADA","ODISHA"
"OSMANABAD","MAHARASHTRA"
"PALAKKAD","KERALA"
"PALAMU","JHARKHAND"
"PALI","RAJASTHAN"
"PANCH MAHALS","GUJARAT"
"PANCHKULA","HARYANA"
"PANIPAT","HARYANA"
"PANNA","MADHYA PRADESH"
"PAPUM PARE","ARUNACHAL PRADESH"
"PARBHANI","MAHARASHTRA"
"PASHCHIM CHAMPARAN","BIHAR"
"PASHCHIMI SINGHBHUM","JHARKHAND"
"PATAN","GUJARAT"
"PATHANAMTHITTA","KERALA"
"PATIALA","PUNJAB"
"PATNA","BIHAR"
"PERAMBALUR","TAMIL NADU"
"PHEK","NAGALAND"
"PILIBHIT","UTTAR PRADESH"
"PITHORAGARH","UTTARAKHAND"
"PUDUCHERRY","PUDUCHERRY"
"PORBANDAR","GUJARAT"
"PRAKASAM","ANDHRA PRADESH"
"PRATAPGARH","RAJASTHAN"
"PUDUKKOTTAI","TAMIL NADU"
"PULWAMA","JAMMU AND KASHMIR"
"PUNCH","JAMMU AND KASHMIR"
"PUNE","MAHARASHTRA"
"PURBI SINGHBHUM","JHARKHAND"
"PURI","ODISHA"
"PURNIA","BIHAR"
"PURULIYA","WEST BENGAL"
"RAE BARELI","UTTAR PRADESH"
"RAICHUR","KARNATAKA"
"RAIGARH","CHHATTISGARH"
"RAIPUR","CHHATTISGARH"
"RAISEN","MADHYA PRADESH"
"RAJGARH","MADHYA PRADESH"
"RAJKOT","GUJARAT"
"RAJNANDGAON","CHHATTISGARH"
"RAJSAMAND","RAJASTHAN"
"RAMANATHAPURAM","TAMIL NADU"
"RAMPUR","UTTAR PRADESH"
"RANCHI","JHARKHAND"
"RANGAREDDY","TELANGANA"
"RATLAM","MADHYA PRADESH"
"RATNAGIRI","MAHARASHTRA"
"RAYAGADA","ODISHA"
"REWA","MADHYA PRADESH"
"REWARI","HARYANA"
"ROHTAK","HARYANA"
"ROHTAS","BIHAR"
"RUDRAPRAYAG","UTTARAKHAND"
"RUPNAGAR","PUNJAB"
"SABAR KANTHA","GUJARAT"
"SAGAR","MADHYA PRADESH"
"SAHARANPUR","UTTAR PRADESH"
"SAHARSA","BIHAR"
"SAHIBGANJ","JHARKHAND"
"SAIHA","MIZORAM"
"SALEM","TAMIL NADU"
"SAMASTIPUR","BIHAR"
"SAMBALPUR","ODISHA"
"SANGLI","MAHARASHTRA"
"SANGRUR","PUNJAB"
"SANT KABIR NAGAR","UTTAR PRADESH"
"SARAN","BIHAR"
"SATARA","MAHARASHTRA"
"SATNA","MADHYA PRADESH"
"SAWAI MADHOPUR","RAJASTHAN"
"SEHORE","MADHYA PRADESH"
"SEONI","MADHYA PRADESH"
"SERCHHIP","MIZORAM"
"SHAHDOL","MADHYA PRADESH"
"SHAHJAHANPUR","UTTAR PRADESH"
"SHAJAPUR","MADHYA PRADESH"
"SHEIKHPURA","BIHAR"
"SHEOHAR","BIHAR"
"SHEOPUR","MADHYA PRADESH"
"SHIMLA","HIMACHAL PRADESH"
"SHIMOGA","KARNATAKA"
"SHIVPURI","MADHYA PRADESH"
"SHRAWASTI","UTTAR PRADESH"
"SIDDHARTHNAGAR","UTTAR PRADESH"
"SIDHI","MADHYA PRADESH"
"SIKAR","RAJASTHAN"
"SINDHUDURG","MAHARASHTRA"
"SIRMAUR","HIMACHAL PRADESH"
"SIROHI","RAJASTHAN"
"SIRSA","HARYANA"
"SITAMARHI","BIHAR"
"SITAPUR","UTTAR PRADESH"
"SIVAGANGA","TAMIL NADU"
"SIWAN","BIHAR"
"SOLAN","HIMACHAL PRADESH"
"SOLAPUR","MAHARASHTRA"
"SONBHADRA","UTTAR PRADESH"
"SONIPAT","HARYANA"
"SONITPUR","ASSAM"
"SOUTH","NCT OF DELHI"
"SOUTH GARO HILLS","MEGHALAYA"
"SOUTH GOA","GOA"
"SOUTH TRIPURA","TRIPURA"
"SOUTH WEST","NCT OF DELHI"
"SRIKAKULAM","ANDHRA PRADESH"
"SRINAGAR","JAMMU AND KASHMIR"
"SULTANPUR","UTTAR PRADESH"
"SUNDARGARH","ODISHA"
"SUPAUL","BIHAR"
"SURAT","GUJARAT"
"SURENDRANAGAR","GUJARAT"
"SURGUJA","CHHATTISGARH"
"TAWANG","ARUNACHAL PRADESH"
"TEHRI GARHWAL","UTTARAKHAND"
"TEHRI GARHWAL & GARHWAL","UTTARAKHAND"
"THANE","MAHARASHTRA"
"THANJAVUR","TAMIL NADU"
"THE NILGIRIS","TAMIL NADU"
"THENI","TAMIL NADU"
"THIRUVALLUR","TAMIL NADU"
"THIRUVANANTHAPURAM","KERALA"
"THIRUVARUR","TAMIL NADU"
"THOUBAL","MANIPUR"
"THRISSUR","KERALA"
"TIKAMGARH","MADHYA PRADESH"
"TINSUKIA","ASSAM"
"TIRAP","ARUNACHAL PRADESH"
"TIRUCHIRAPPALLI","TAMIL NADU"
"TIRUNELVELI","TAMIL NADU"
"TIRUVANAMALAI","TAMIL NADU"
"TONK","RAJASTHAN"
"TOOTHUKUDI","TAMIL NADU"
"TUENSANG","NAGALAND"
"TUMKUR","KARNATAKA"
"UDAIPUR","RAJASTHAN"
"UDHAM SINGH NAGAR","UTTARAKHAND"
"UDHAMPUR","JAMMU AND KASHMIR"
"UDUPI","KARNATAKA"
"UJJAIN","MADHYA PRADESH"
"UMARIA","MADHYA PRADESH"
"UNA","HIMACHAL PRADESH"
"UNNAO","UTTAR PRADESH"
"UPPER SUBANSIRI","ARUNACHAL PRADESH"
"UTTAR DINAJPUR","WEST BENGAL"
"UTTARA KANNADA","KARNATAKA"
"UTTARKASHI","UTTARAKHAND"
"VADODARA","GUJARAT"
"VAISHALI","BIHAR"
"VALSAD","GUJARAT"
"VARANASI","UTTAR PRADESH"
"VELLORE","TAMIL NADU"
"VIDISHA","MADHYA PRADESH"
"VILUPPURAM","TAMIL NADU"
"VIRUDHUNAGAR","TAMIL NADU"
"VISAKHAPATNAM","ANDHRA PRADESH"
"VIZIANAGARAM","ANDHRA PRADESH"
"WARANGAL","ANDHRA PRADESH"
"WARDHA","MAHARASHTRA"
"WASHIM","MAHARASHTRA"
"WAYANAD","KERALA"
"WEST","NCT OF DELHI"
"WEST GARO HILLS","MEGHALAYA"
"WEST GODAVARI","ANDHRA PRADESH"
"WEST KAMENG","ARUNACHAL PRADESH"
"WEST KHASI HILLS","MEGHALAYA"
"WEST SIANG","ARUNACHAL PRADESH"
"WEST TRIPURA","TRIPURA"
"WOKHA","NAGALAND"
"YAMUNANAGAR","HARYANA"
"YANAM","PUDUCHERRY"
"YAVATMAL","MAHARASHTRA"
"ZUNHEBOTO","NAGALAND"
"BHIWANDI","MAHARASHTRA"
"AMBERNATH","MAHARASHTRA"
"GOREGAON","MAHARASHTRA"
"NAVI MUMBAI","MAHARASHTRA"
"VASHI","MAHARASHTRA"
"JNPT","MAHARASHTRA"
"TALOJA","MAHARASHTRA"
"VASAI","MAHARASHTRA"
"PALGHAR","MAHARASHTRA"
"BADLAPUR","MAHARASHTRA"
"COCHIN","KERALA"
"HOSPET","KARNATAKA"
"BOMMASANDRA","KARNATAKA"
"RANIPET","TAMIL NADU"
"RAMGARH","JHARKHAND"
"VAPI","GUJARAT"
"DELHI","DELHI"
"MANESAR","HARYANA"
"CALICUT","KERALA"
"PEN","MAHARASHTRA"
"BAHADURGARG","DELHI"
"BHIWADI","RAJASTHAN"
"ISNAPUR","TELANGANA"
"MURBAD","MAHARASHTRA"
"GHUGUS","MAHARASHTRA"
"AIROLI","MAHARASHTRA"
"HOSUR","TAMIL NADU"
"KOLHAPUR","MAHARASHTRA"
"BIHAR","BIHAR"
"KHAPOLI","MAHARASHTRA"
"WHITEFIELD","KARNATAKA"
"VIJAYAWADA","TELANGANA"
"RAJGIR","BIHAR"
"ANGUL","ODISHA"
"SILIGURI","ASSAM"
"BADDI","HIMACHAL PRADESH"
"KUSHKEDA","RAJASTHAN"
"PAKUR","JHARKHAND"
"JAMTARA","JHARKHAND"
"KHUSHKHERA","RAJASTHAN"
"KANPUR","UTTAR PRADESH"
"SAMBHAL","UTTAR PRADESH"
"GUNNAUR","MADHYA PRADESH"
"GHILOTH","RAJASTHAN"
"KUNIGAL","KARNATAKA"
"MORBI","GUJARAT"
"HOWRAH","WEST BENGAL"
"UMBERGAM","GUJARAT"
"BEAWAR","RAJASTHAN"
"KRISHNAGIRI","TAMIL NADU"
"SANAND","GUJARAT"
"SHRIMADHOPUR","RAJASTHAN"
"THANGADH (GJ)","GUJARAT"
"BAWAL","RAJASTHAN"
"NEEMRANA","RAJASTHAN"
"RAJAPALAYAM","TAMIL NADU"
"THANGARH","GUJARAT"
"BARODA","GUJARAT"
"NOIDA","HARYANA"
"UMBERGAON","GUJARAT"
"BHATINDA","PUNJAB"
"YELLAMPET","TELANGANA"
"SUWASRA","MADHYA PRADESH"
"DAUND","MAHARASHTRA"
"WILL ISLAND","KERALA"
"DURGAPUR","WEST BENGAL"
"RABALE","MAHARASHTRA"
"KOCHI","KERALA"
"AMROHA","UTTAR PRADESH"
"ELURU","ANDHRA PRADESH"
"BHUBANESHWAR","ODISHA"
"GUWAHATI","ASSAM"
"GHOSHPUKUR","WEST BENGAL"
"GOA","MAHARASHTRA"
"GOVINDPUR","JHARKHAND"
"HAZARIBAG","JHARKHAND"
"CHAIBASA","JHARKHAND"
"ANGAMLI","KERALA"
"VIRAR","MAHARASHTRA"
"DINAJPUR","WEST BENGAL"
"BOISAR","MAHARASHTRA"
